StageCode,DefectCode,Allowed(Y/N),DefaultSeverityOverride,Notes
STG-080_SEW_MAIN,DF-001,Y,,عيوب خياطة في مرحلة خياطة
STG-090_SLEEVE,DF-001,Y,,عيوب خياطة في مرحلة خياطة
STG-120_LENGTH_SEW,DF-001,Y,,عيوب خياطة في مرحلة خياطة
STG-180_BUTTONS_ATTACH,DF-001,Y,,عيوب خياطة في مرحلة خياطة
STG-103_SEW_SIDE_EXTERNAL,DF-001,Y,,عيوب خياطة في مرحلة خياطة
STG-080_SEW_MAIN,DF-002,Y,,عيوب خياطة في مرحلة خياطة
STG-090_SLEEVE,DF-002,Y,,عيوب خياطة في مرحلة خياطة
STG-120_LENGTH_SEW,DF-002,Y,,عيوب خياطة في مرحلة خياطة
STG-180_BUTTONS_ATTACH,DF-002,Y,,عيوب خياطة في مرحلة خياطة
STG-103_SEW_SIDE_EXTERNAL,DF-002,Y,,عيوب خياطة في مرحلة خياطة
STG-080_SEW_MAIN,DF-003,Y,,عيوب خياطة في مرحلة خياطة
STG-090_SLEEVE,DF-003,Y,,عيوب خياطة في مرحلة خياطة
STG-120_LENGTH_SEW,DF-003,Y,,عيوب خياطة في مرحلة خياطة
STG-180_BUTTONS_ATTACH,DF-003,Y,,عيوب خياطة في مرحلة خياطة
STG-103_SEW_SIDE_EXTERNAL,DF-003,Y,,عيوب خياطة في مرحلة خياطة
STG-080_SEW_MAIN,DF-004,Y,,عيوب خياطة في مرحلة خياطة
STG-090_SLEEVE,DF-004,Y,,عيوب خياطة في مرحلة خياطة
STG-120_LENGTH_SEW,DF-004,Y,,عيوب خياطة في مرحلة خياطة
STG-180_BUTTONS_ATTACH,DF-004,Y,,عيوب خياطة في مرحلة خياطة
STG-103_SEW_SIDE_EXTERNAL,DF-004,Y,,عيوب خياطة في مرحلة خياطة
STG-080_SEW_MAIN,DF-005,Y,,عيوب خياطة في مرحلة خياطة
STG-090_SLEEVE,DF-005,Y,,عيوب خياطة في مرحلة خياطة
