ReqID,Type,Title,RequirementText,Priority,Module,ActorRole,SourceSection,DiagramRef,Entities,Attributes,APEXPages,APIAffected,RulesAlgorithms,Validations,ErrorsEdgeCases,AcceptanceCriteria,TestCaseIDs,Status,Notes
FR-001,FR,إدارة أنواع المراحل | Stage Types,يجب أن يتيح النظام تعريف وتعديل وتعطيل أنواع المراحل.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,STAGE_TYPES,TYPE_ID;NAME_AR;NAME_EN;ACTIVE,P-020,,,,N/A,يمكن إنشاء نوع مرحلة وتعديله وتعطيله ويظهر في القوائم.,TC-001,READY,
FR-002,FR,إدارة المراحل وخصائصها | Stages,يجب أن يدعم النظام المراحل بكود فريد وأسماء متعددة ولها نوع وترتيب وحالة.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,STAGES;STAGE_TYPES,STAGE_ID;CODE;NAME_AR;NAME_EN;NAME_HI;TYPE_ID;SEQ;ACTIVE,P-030,,,CODE فريد,رفض تكرار CODE,يمكن حفظ مرحلة بكود فريد وترتيب وحالة وأسماء اللغات.,TC-002,READY,
FR-003,FR,ربط المنتجات بأنواع المبيعات,يجب ربط المنتجات بأنواع المنتجات القادمة من نظام المبيعات.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,PRODUCTS,PROD_TYPE,,,,,N/A,يتم ربط المنتج بنوع المنتج من نظام المبيعات.,TC-003,READY,واجهة إدارة المنتجات غير مذكورة ضمن صفحات APEX.
FR-004,FR,قاموس مواصفات ومقاسات المنتج,يجب توفير قاموس مواصفات ومقاسات لكل منتج/موديل.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,PRODUCTS,CUSTOMER_OPTIONS_JSON,,,,,N/A,يمكن حفظ مواصفات ومقاسات مرتبطة بمنتج/موديل.,TC-004,READY,بنية القاموس التفصيلية غير محددة.
FR-005,FR,بيانات الموظفين الأساسية,يجب أن يدعم النظام بيانات الموظف: رقم وظيفي وأسماء وBadge/Barcode ومرحلة افتراضية وحالة.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,EMPLOYEES,EMP_ID;EMP_NO;NAME_AR;NAME_EN;NAME_HI;BADGE_CODE;DEFAULT_STAGE_ID;STATUS,P-040,,,EMP_NO فريد وBADGE_CODE فريد,رفض تكرار EMP_NO أو BADGE_CODE,يمكن إنشاء موظف بالحقول المطلوبة وتحديد المرحلة الافتراضية.,TC-005,READY,
FR-006,FR,مهارات الموظف والمراحل المخولة,يجب ربط الموظف بالمراحل المخولة وفق مهاراته.,MVP,MASTER,مسؤول النظام,3.1 FR-1,,SKILLS;EMPLOYEES;STAGES,EMP_ID;STAGE_ID,P-040,,,الموظف والمرحلة موجودان,رفض ربط مرحلة غير موجودة,يمكن تعيين مراحل مخولة لكل موظف.,TC-006,READY,
FR-007,FR,قاموس العيوب حسب المرحلة,يجب توفير قاموس عيوب لكل مرحلة مع شدة وفئات.,MVP,QC,مسؤول النظام,3.1 FR-1,,DEFECTS;STAGE_DEFECTS,DEFECT_ID;CODE;SEVERITY;CATEGORY;STAGE_ID;ALLOWED;SEVERITY_OVERRIDE,P-070,,,كود العيب فريد وربط العيب بالمرحلة مسموح,رفض ربط عيب بمرحلة غير مسموح بها,يمكن ربط العيوب بالمراحل وفق القاموس المعتمد.,TC-007,READY,ASSUMPTION: A-003
FR-008,FR,جزاءات العيوب حسب السياق,يجب تعريف جزاءات العيوب حسب الوظيفة ومكان الاكتشاف والتكرار.,MVP,QC,مسؤول النظام,3.1 FR-1,,PENALTIES,PENALTY_ID;DEFECT_CODE;SEVERITY;DISCOVERY_LOCATION;ROLE;FIRST_POINTS;REPEAT_POINTS;MAX_CAP_PER_INVOICE,P-070,,,النقاط أرقام موجبة والحد الأعلى محدد,رفض إدخال نقاط سالبة أو تجاوز الحد الأقصى,تُحدد الجزاءات وفق مصفوفة النقاط المعتمدة.,TC-008,READY,ASSUMPTION: A-004
FR-009,FR,أنواع الأسعار التشغيلية,يجب دعم أسعار المراحل وفق الساعة والقطعة والحد الأدنى الشهري.,MVP,PAYROLL,مسؤول النظام,3.1 FR-1,,RATES,RATE_ID;STAGE_ID;EMP_ID;RATE_TYPE;RATE_VALUE;EFFECTIVE_FROM;EFFECTIVE_TO,P-090,,,RATE_TYPE ضمن HOUR|PIECE|MONTHLY_MIN,رفض نوع سعر غير مدعوم,يمكن تعريف سعر للساعة أو القطعة أو الحد الأدنى الشهري.,TC-009,READY,
FR-010,FR,محتوى التدريب,يجب دعم محتوى تدريبي يشمل تعليمات تشغيلية وفيديوهات واختبارات وتكرار وإقرار.,MVP,TRAINING,مسؤول النظام,3.1 FR-1,,TRAINING_CONTENT;TRAINING_ASSIGN,TR_ID;STAGE_ID;TITLE;MEDIA_URL;QUIZ_JSON;RECURRENCE;ACK_AT,P-045,,,,N/A,يمكن حفظ محتوى تدريبي وربطه بمرحلة مع تكرار وإقرار.,TC-010,READY,
